date,location,name,basket,total,payment_type,card_number
26/11/2023 09:00,Longridge,Quentin Keller,"Large Smoothies - Glowing Greens - 2.50, Regular Frappes - Strawberries & Cream - 2.75, Regular Glass of milk - 0.70, Regular Glass of milk - 0.70, Regular Smoothies - Glowing Greens - 2.00",8.65,CARD,6690555496662451
26/11/2023 09:01,Longridge,Joyce Ingle,Large Flavoured iced latte - Caramel - 3.25,3.25,CARD,3154018761321616
26/11/2023 09:02,Longridge,Mary Lafarge,"Regular Speciality Tea - Earl Grey - 1.30, Large Frappes - Strawberries & Cream - 3.25",4.55,CARD,5415418498365233
26/11/2023 09:03,Longridge,Buford Ybarra,"Regular Smoothies - Glowing Greens - 2.00, Regular Speciality Tea - Earl Grey - 1.30, Regular Flavoured iced latte - Caramel - 2.75, Large Speciality Tea - Earl Grey - 1.60",7.65,CARD,3161984905366422
26/11/2023 09:04,Longridge,Shirley Thompson,"Regular Flavoured iced latte - Caramel - 2.75, Large Mocha - 2.70, Regular Frappes - Strawberries & Cream - 2.75",8.2,CARD,1299981178656848
26/11/2023 09:05,Longridge,James Kaufman,Large Flavoured iced latte - Caramel - 3.25,3.25,CARD,6456613855272623
26/11/2023 09:06,Longridge,Ernest Mossien,Regular Speciality Tea - Earl Grey - 1.30,1.3,CASH,
26/11/2023 09:07,Longridge,Lisa Spinks,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Caramel - 2.75, Large Speciality Tea - Earl Grey - 1.60, Large Frappes - Strawberries & Cream - 3.25, Large Flavoured iced latte - Caramel - 3.25",14.1,CARD,4090133110431772
26/11/2023 09:08,Longridge,Jessica Smith,"Regular Smoothies - Glowing Greens - 2.00, Large Speciality Tea - Earl Grey - 1.60, Regular Smoothies - Glowing Greens - 2.00, Regular Smoothies - Glowing Greens - 2.00, Regular Frappes - Strawberries & Cream - 2.75, Regular Frappes - Strawberries & Cream - 2.75",13.1,CARD,6252020380472168
26/11/2023 09:09,Longridge,Raymond Pearson,"Large Smoothies - Glowing Greens - 2.50, Regular Smoothies - Glowing Greens - 2.00, Regular Smoothies - Glowing Greens - 2.00",6.5,CARD,5135045165047007
