date,location,name,basket,total,payment_type,card_number
04/12/2023 09:00,Uppingham,Diann Gorden,"Large Flavoured latte - Caramel - 2.85, Regular Flavoured latte - Hazelnut - 2.55, Regular Smoothies - Berry Beautiful - 2.00, Regular Hot chocolate - 2.20, Regular Flavoured latte - Caramel - 2.55",12.15,CARD,9825009034136857
04/12/2023 09:01,Uppingham,Donald Spaulding,"Large Hot chocolate - 2.90, Large Flavoured latte - Caramel - 2.85, Large Mocha - 2.70",8.45,CASH,
04/12/2023 09:02,Uppingham,Daniel Flynn,Regular Cortado - 2.05,2.05,CASH,
04/12/2023 09:03,Uppingham,William Lagrone,"Regular Smoothies - Berry Beautiful - 2.00, Large Mocha - 2.70",4.7,CARD,9500105795708368
04/12/2023 09:04,Uppingham,Cecil Macias,Regular Mocha - 2.30,2.3,CARD,7183776232981951
04/12/2023 09:05,Uppingham,Rhonda Elza,Large Red Label tea - 1.80,1.8,CARD,8764017201595779
04/12/2023 09:06,Uppingham,Helen Knight,"Large Speciality Tea - Peppermint - 1.60, Regular Speciality Tea - Peppermint - 1.30",2.9,CASH,
04/12/2023 09:07,Uppingham,Lee Schubert,Regular Flavoured latte - Caramel - 2.55,2.55,CASH,
04/12/2023 09:08,Uppingham,Ilene Copley,"Large Red Label tea - 1.80, Regular Flavoured hot chocolate - Vanilla - 2.60",4.4,CASH,
04/12/2023 09:09,Uppingham,Maxwell Trongone,"Regular Cortado - 2.05, Regular Flavoured hot chocolate - Vanilla - 2.60",4.65,CARD,5064019701811352
04/12/2023 09:10,Uppingham,Dolores Mcdonald,"Large Flavoured hot chocolate - Vanilla - 2.90, Regular Speciality Tea - Green - 1.30, Large Flavoured latte - Caramel - 2.85, Large Flavoured latte - Caramel - 2.85, Large Cortado - 2.35, Regular Smoothies - Berry Beautiful - 2.00",14.25,CASH,
04/12/2023 09:11,Uppingham,Elsie Strawser,"Large Red Label tea - 1.80, Regular Flavoured latte - Caramel - 2.55, Regular Red Label tea - 1.20",5.55,CARD,8034430529732352
04/12/2023 09:12,Uppingham,Edna Sandoval,"Regular Flavoured latte - Hazelnut - 2.55, Large Speciality Tea - Peppermint - 1.60",4.15,CARD,2987057289447415
04/12/2023 09:13,Uppingham,Sergio Broussard,"Large Speciality Tea - Peppermint - 1.60, Large Smoothies - Berry Beautiful - 2.50, Large Speciality Tea - Peppermint - 1.60",5.7,CASH,
04/12/2023 09:14,Uppingham,Timothy Mcmurray,"Regular Flavoured latte - Caramel - 2.55, Regular Flavoured hot chocolate - Vanilla - 2.60",5.15,CARD,1253088281247683
04/12/2023 09:15,Uppingham,Edward Sorensen,"Regular Flavoured latte - Caramel - 2.55, Large Hot chocolate - 2.90",5.45,CARD,5401708715625293
04/12/2023 09:16,Uppingham,Randall Dullea,"Large Hot chocolate - 2.90, Regular Mocha - 2.30, Regular Red Label tea - 1.20, Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Mocha - 2.30",11.3,CASH,
04/12/2023 09:17,Uppingham,Ethel Topete,Regular Hot chocolate - 2.20,2.2,CASH,
04/12/2023 09:18,Uppingham,Carrie Craig,Regular Speciality Tea - Green - 1.30,1.3,CARD,5572259759735889
04/12/2023 09:19,Uppingham,Vicki Young,"Large Flavoured latte - Caramel - 2.85, Large Hot chocolate - 2.90, Regular Smoothies - Berry Beautiful - 2.00",7.75,CASH,
04/12/2023 09:20,Uppingham,Eugene Hawkins,"Large Flavoured latte - Caramel - 2.85, Large Cortado - 2.35",5.2,CARD,9060019670802910
04/12/2023 09:21,Uppingham,Kevin Cainne,"Large Hot chocolate - 2.90, Large Smoothies - Berry Beautiful - 2.50, Large Speciality Tea - Green - 1.60",7.0,CARD,6861529055369329
04/12/2023 09:22,Uppingham,Thomas Lundstrom,"Regular Smoothies - Berry Beautiful - 2.00, Large Smoothies - Berry Beautiful - 2.50, Regular Hot chocolate - 2.20",6.7,CASH,
04/12/2023 09:23,Uppingham,Karen Beach,"Large Flavoured latte - Hazelnut - 2.85, Large Cortado - 2.35, Regular Flavoured latte - Hazelnut - 2.55, Regular Mocha - 2.30",10.05,CARD,3554552087285761
04/12/2023 09:24,Uppingham,Jose Diaz,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Speciality Tea - Green - 1.60",4.2,CARD,7868263601270832
04/12/2023 09:25,Uppingham,Marcella Beyer,"Regular Speciality Tea - Peppermint - 1.30, Large Red Label tea - 1.80",3.1,CASH,
04/12/2023 09:26,Uppingham,Theodore Livingston,"Large Hot chocolate - 2.90, Large Flavoured hot chocolate - Vanilla - 2.90, Large Mocha - 2.70, Regular Smoothies - Berry Beautiful - 2.00",10.5,CARD,9373765161298895
04/12/2023 09:27,Uppingham,Garry Long,Regular Speciality Tea - Green - 1.30,1.3,CASH,
04/12/2023 09:28,Uppingham,Jeremy Ramsey,"Large Speciality Tea - Green - 1.60, Regular Speciality Tea - Peppermint - 1.30, Regular Mocha - 2.30, Regular Smoothies - Berry Beautiful - 2.00",7.2,CASH,
04/12/2023 09:29,Uppingham,Jacob Hopper,"Large Flavoured hot chocolate - Vanilla - 2.90, Regular Speciality Tea - Green - 1.30, Regular Flavoured latte - Hazelnut - 2.55",6.75,CASH,
04/12/2023 09:30,Uppingham,Sibyl Hennessey,"Large Smoothies - Berry Beautiful - 2.50, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Hot chocolate - 2.90, Large Speciality Tea - Peppermint - 1.60",9.6,CARD,6512159365350219
04/12/2023 09:31,Uppingham,Dale Platt,"Regular Red Label tea - 1.20, Large Speciality Tea - Green - 1.60",2.8,CASH,
04/12/2023 09:32,Uppingham,Tammy Sigler,Regular Hot chocolate - 2.20,2.2,CASH,
04/12/2023 09:33,Uppingham,David Condo,"Large Speciality Tea - Peppermint - 1.60, Regular Cortado - 2.05, Regular Cortado - 2.05",5.7,CASH,
04/12/2023 09:34,Uppingham,Apryl Parrott,"Large Flavoured latte - Caramel - 2.85, Large Speciality Tea - Green - 1.60",4.45,CARD,2175142442801689
04/12/2023 09:35,Uppingham,Randolph Grubb,"Large Hot chocolate - 2.90, Regular Red Label tea - 1.20",4.1,CASH,
04/12/2023 09:36,Uppingham,Terry Trujillo,"Large Hot chocolate - 2.90, Regular Mocha - 2.30",5.2,CARD,5014095791584142
04/12/2023 09:37,Uppingham,Alline Jackson,Regular Red Label tea - 1.20,1.2,CARD,3393123267213564
04/12/2023 09:38,Uppingham,Antonio Beaver,Regular Speciality Tea - Peppermint - 1.30,1.3,CARD,5395500416476551
04/12/2023 09:39,Uppingham,Suzanne Miller,"Large Speciality Tea - Peppermint - 1.60, Regular Speciality Tea - Green - 1.30, Large Hot chocolate - 2.90",5.8,CARD,8665933473751446
04/12/2023 09:40,Uppingham,Troy Sayre,"Regular Cortado - 2.05, Regular Red Label tea - 1.20, Large Cortado - 2.35, Regular Mocha - 2.30, Regular Flavoured latte - Caramel - 2.55",10.45,CARD,7906585683561560
04/12/2023 09:41,Uppingham,Connie Marquis,Regular Flavoured latte - Hazelnut - 2.55,2.55,CARD,4829575728705707
04/12/2023 09:42,Uppingham,Ann Martinez,"Regular Mocha - 2.30, Regular Speciality Tea - Green - 1.30, Large Flavoured latte - Hazelnut - 2.85, Regular Speciality Tea - Peppermint - 1.30, Regular Speciality Tea - Green - 1.30, Regular Speciality Tea - Peppermint - 1.30",10.35,CASH,
04/12/2023 09:43,Uppingham,Annetta Ramaker,"Regular Speciality Tea - Green - 1.30, Large Flavoured hot chocolate - Vanilla - 2.90, Regular Red Label tea - 1.20",5.4,CARD,8895737274290785
04/12/2023 09:44,Uppingham,William Needleman,Large Speciality Tea - Peppermint - 1.60,1.6,CASH,
04/12/2023 09:45,Uppingham,Rose Richey,"Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured hot chocolate - Vanilla - 2.60",5.15,CARD,3345840046934314
04/12/2023 09:46,Uppingham,Jack Kincaid,"Large Smoothies - Berry Beautiful - 2.50, Regular Mocha - 2.30",4.8,CASH,
04/12/2023 09:47,Uppingham,Michael Anklam,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured hot chocolate - Vanilla - 2.90, Large Cortado - 2.35, Regular Flavoured latte - Hazelnut - 2.55",10.4,CARD,2965283622651586
04/12/2023 09:48,Uppingham,Ena Hawkinson,"Regular Flavoured latte - Caramel - 2.55, Large Flavoured latte - Hazelnut - 2.85, Regular Mocha - 2.30, Regular Flavoured latte - Hazelnut - 2.55, Regular Hot chocolate - 2.20",12.45,CASH,
04/12/2023 09:49,Uppingham,Eric Mojica,"Large Speciality Tea - Peppermint - 1.60, Large Mocha - 2.70, Large Speciality Tea - Peppermint - 1.60, Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Hot chocolate - 2.20",10.7,CARD,7509904153212617
04/12/2023 09:50,Uppingham,Myrtle Trapp,Large Mocha - 2.70,2.7,CASH,
04/12/2023 09:51,Uppingham,Shirley Dobbins,"Large Hot chocolate - 2.90, Regular Flavoured latte - Hazelnut - 2.55, Large Smoothies - Berry Beautiful - 2.50, Regular Red Label tea - 1.20",9.15,CARD,3596207451047631
04/12/2023 09:52,Uppingham,John Collins,"Large Hot chocolate - 2.90, Large Hot chocolate - 2.90, Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured latte - Hazelnut - 2.85, Regular Cortado - 2.05",16.1,CARD,4722941500170679
04/12/2023 09:53,Uppingham,Sherri Tejera,Regular Red Label tea - 1.20,1.2,CARD,6115469838304699
04/12/2023 09:54,Uppingham,Alina Johnson,"Regular Cortado - 2.05, Regular Flavoured latte - Caramel - 2.55, Large Red Label tea - 1.80, Large Speciality Tea - Peppermint - 1.60, Large Hot chocolate - 2.90",10.9,CASH,
04/12/2023 09:55,Uppingham,Anna Mcelwain,"Large Flavoured latte - Hazelnut - 2.85, Large Speciality Tea - Peppermint - 1.60, Regular Cortado - 2.05, Large Flavoured latte - Caramel - 2.85",9.35,CARD,2098527510951658
04/12/2023 09:56,Uppingham,Zackary Webster,"Large Flavoured hot chocolate - Vanilla - 2.90, Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured latte - Hazelnut - 2.85, Large Hot chocolate - 2.90, Large Flavoured latte - Hazelnut - 2.85",14.05,CARD,2890052493580775
04/12/2023 09:57,Uppingham,Elizabeth Brown,"Large Mocha - 2.70, Large Speciality Tea - Peppermint - 1.60",4.3,CARD,6520023106267529
04/12/2023 09:58,Uppingham,Richard Coates,"Large Flavoured latte - Hazelnut - 2.85, Regular Mocha - 2.30, Large Flavoured latte - Caramel - 2.85, Large Speciality Tea - Peppermint - 1.60, Regular Red Label tea - 1.20",10.8,CARD,3852887171238254
04/12/2023 09:59,Uppingham,Rafael Dubois,Large Hot chocolate - 2.90,2.9,CARD,1671036850527491
04/12/2023 10:01,Uppingham,Laura Meadows,"Regular Red Label tea - 1.20, Regular Hot chocolate - 2.20, Regular Speciality Tea - Peppermint - 1.30",4.7,CARD,5325771699920035
04/12/2023 10:02,Uppingham,Sandra Plunk,Large Cortado - 2.35,2.35,CARD,9522305898780562
04/12/2023 10:03,Uppingham,Jeannette Teaff,"Regular Hot chocolate - 2.20, Regular Speciality Tea - Peppermint - 1.30, Large Speciality Tea - Green - 1.60",5.1,CARD,8058678717218615
04/12/2023 10:04,Uppingham,Francis White,"Large Flavoured hot chocolate - Vanilla - 2.90, Large Red Label tea - 1.80, Large Smoothies - Berry Beautiful - 2.50",7.2,CARD,1618359494801301
04/12/2023 10:06,Uppingham,Vilma Stiltner,Regular Smoothies - Berry Beautiful - 2.00,2.0,CARD,9453588350183263
04/12/2023 10:07,Uppingham,John Rivas,"Large Hot chocolate - 2.90, Regular Speciality Tea - Green - 1.30, Large Flavoured latte - Hazelnut - 2.85, Large Speciality Tea - Peppermint - 1.60, Large Red Label tea - 1.80, Regular Red Label tea - 1.20",11.65,CASH,
04/12/2023 10:08,Uppingham,Doris Proffitt,"Regular Red Label tea - 1.20, Large Flavoured latte - Hazelnut - 2.85",4.05,CARD,1016935571971730
04/12/2023 10:09,Uppingham,Ashley Malboeuf,"Large Hot chocolate - 2.90, Large Hot chocolate - 2.90",5.8,CARD,8260115549983669
04/12/2023 10:11,Uppingham,Maurice Glasser,"Regular Speciality Tea - Green - 1.30, Regular Mocha - 2.30",3.6,CARD,4670698830620181
04/12/2023 10:12,Uppingham,Tyler Price,Large Mocha - 2.70,2.7,CARD,9521595940633308
